2024-04-10 19:05:15,505 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - -Finished Spring Data repository scanning in 153 ms. Found 15 JPA repository interfaces.
2024-04-10 19:05:16,557 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - -Tomcat initialized with port 8081 (http)
2024-04-10 19:05:16,568 [main] INFO  o.a.coyote.http11.Http11NioProtocol - -Initializing ProtocolHandler ["http-nio-8081"]
2024-04-10 19:05:16,570 [main] INFO  o.a.catalina.core.StandardService - -Starting service [Tomcat]
2024-04-10 19:05:16,571 [main] INFO  o.a.catalina.core.StandardEngine - -Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-10 19:05:16,655 [main] INFO  o.a.c.c.C.[.[.[/codfish-bike] - -Initializing Spring embedded WebApplicationContext
2024-04-10 19:05:16,655 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - -Root WebApplicationContext: initialization completed in 2395 ms
2024-04-10 19:05:16,781 [main] INFO  com.zaxxer.hikari.HikariDataSource - -HikariPool-1 - Starting...
2024-04-10 19:05:17,140 [main] INFO  com.zaxxer.hikari.pool.HikariPool - -HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5c8d58ed
2024-04-10 19:05:17,141 [main] INFO  com.zaxxer.hikari.HikariDataSource - -HikariPool-1 - Start completed.
2024-04-10 19:05:17,238 [main] INFO  o.f.c.i.license.VersionPrinter - -Flyway Community Edition 9.22.3 by Redgate
2024-04-10 19:05:17,238 [main] INFO  o.f.c.i.license.VersionPrinter - -See release notes here: https://rd.gt/416ObMi
2024-04-10 19:05:17,238 [main] INFO  o.f.c.i.license.VersionPrinter - -
2024-04-10 19:05:17,258 [main] INFO  org.flywaydb.core.FlywayExecutor - -Database: jdbc:postgresql://localhost:5432/cod_fish_bike (PostgreSQL 15.2)
2024-04-10 19:05:17,319 [main] INFO  o.f.c.internal.command.DbValidate - -Successfully validated 15 migrations (execution time 00:00.039s)
2024-04-10 19:05:17,335 [main] INFO  o.f.core.internal.command.DbMigrate - -Current version of schema "public": 3.1
2024-04-10 19:05:17,339 [main] INFO  o.f.core.internal.command.DbMigrate - -Schema "public" is up to date. No migration necessary.
2024-04-10 19:05:17,440 [main] INFO  o.h.jpa.internal.util.LogHelper - -HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-10 19:05:17,517 [main] INFO  org.hibernate.Version - -HHH000412: Hibernate ORM core version 6.4.4.Final
2024-04-10 19:05:17,566 [main] INFO  o.h.c.i.RegionFactoryInitiator - -HHH000026: Second-level cache disabled
2024-04-10 19:05:17,874 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - -No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-10 19:05:17,946 [main] WARN  org.hibernate.orm.deprecation - -HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-04-10 19:05:19,353 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - -HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-10 19:05:19,356 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - -Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-10 19:05:19,833 [main] INFO  o.s.d.j.r.q.QueryEnhancerFactory - -Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-10 19:05:20,703 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-10 19:05:20,990 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - -Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5f478e42, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e8ff687, org.springframework.security.web.context.SecurityContextHolderFilter@71c1ba6d, org.springframework.security.web.header.HeaderWriterFilter@519e110b, org.springframework.web.filter.CorsFilter@231d7386, org.springframework.security.web.authentication.logout.LogoutFilter@4d5196fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7bc3e36b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@335aac7a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3268f664, org.springframework.security.web.access.ExceptionTranslationFilter@4fbd0d1, org.springframework.security.web.access.intercept.AuthorizationFilter@2ae62f7]
2024-04-10 19:05:21,294 [main] INFO  o.a.coyote.http11.Http11NioProtocol - -Starting ProtocolHandler ["http-nio-8081"]
2024-04-10 19:05:21,318 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - -Tomcat started on port 8081 (http) with context path '/codfish-bike'
2024-04-10 19:05:21,331 [main] INFO  c.c.b.BikeSalesAndServiceApplication - -Started BikeSalesAndServiceApplication in 7.848 seconds (process running for 8.299)
